Chino	#cec7a7
Chinook	#a8e3bd
Chocolate	#370202
Christalle	#33036b
Christi	#67a712
Christine	#e7730a
Chrome White	#e8f1d4
Cigar	#773f1a
Cinder	#e0e18
Cinderella	#fde1dc
Cinnamon	#7b3f00
Cioccolato	#55280c
Citrine White	#faf7d6
Citron	#9ea91f
Citrus	#a1c50a
Clairvoyant	#480656
Clam Shell	#d4b6af
Claret	#7f1734
Classic Rose	#fbcce7
Clay Creek	#8a8360
Clear Day	#e9fffd
Clementine	#e96e00
Clinker	#371d09
Cloud	#c7c4bf
Cloud Burst	#202e54
Cloudy	#aca59f
Clover	#384910
Cobalt	#62a78
Cocoa Bean	#481c1c
Cocoa Brown	#301f1e
Coconut Cream	#f8f7dc
Cod Grey	#b0b0b
Coffee	#706555
Coffee Bean	#2a140e
Cognac	#9f381d
Cola	#3f2500
Cold Purple	#aba0d9
Cold Turkey	#cebaba
Colonial White	#ffedbc
Comet	#5c5d75
Como	#517c66
Conch	#c9d9d2
Concord	#7c7b7a
Concrete	#f2f2f2
Confetti	#e9d75a
Congo Brown	#593737
Conifer	#acdd4d
Contessa	#c6726b
Copper Canyon	#7e3a15
Copper Rust	#944747
Coral	#c7bca2
Coral Candy	#ffdcd6
Coral Tree	#a86b6b
Corduroy	#606e68
Coriander	#c4d0b0
Cork	#40291d
Corn	#e7bf05
Corn Field	#f8facd
Corn Harvest	#8b6b0b
Cornflower	#ffb0ac
Corvette	#fad3a2
Cosmic	#76395d
Cosmos	#ffd8d9
Costa Del Sol	#615d30
Cotton Seed	#c2bdb6
County Green	#1371a
Cove Grey	#51657
Cowboy	#4d282d
Crab Apple	#a02712
Crail	#b95140
Cranberry	#b6316c
Crater Brown	#462425
Cream Brulee	#ffe5a0
Cream Can	#f5c85c
Creme De Banane	#fffc99
Creole	#1e0f04
Crete	#737829
Crocodile	#736d58
Crown of Thorns	#771f1f
Crowshead	#1c1208
Cruise	#b5ecdf
Crusoe	#4816
Crusta	#fd7b33
Cuban Tan	#2a140e
Cumin	#924321
Cumulus	#fdffd5
Cupid	#fbbeda
Curious Blue	#2596d1
Cutty Sark	#507672
Cyprus	#3e40
Daintree	#12731
Dairy Cream	#f9e4bc
Daisy Bush	#4f2398
Dallas	#6e4b26
Danube	#6093d1
Dark Ebony	#3c2005
Dark Oak	#612718
Dark Rimu	#5f3d26
Dark Rum	#412010
Dark Slate	#394851
Dark Tan	#661010
Dawn	#a6a29a
Dawn Pink	#f3e9e5
De York	#7ac488
Deco	#d2da97
Deep Blush	#e47698
Deep Bronze	#4a3004
Deep Cove	#51040
Deep Fir	#2900
Deep Koamaru	#1b127b
Deep Oak	#412010
Deep Sea	#1826b
Deep Teal	#3532
Del Rio	#b09a95
Dell	#396413
Delta	#a4a49d
Deluge	#7563a8
Derby	#ffeed8
Desert	#ae6020
Desert Storm	#f8f8f7
Dew	#eafffe
Di Serria	#db995e
Diesel	#130000
Dingley	#5d7747
Disco	#871550
Dixie	#e29418
Dolly	#f9ff8b
Dolphin	#646077
Domino	#8e775e
Don Juan	#5d4c51
Donkey Brown	#a69279
Dorado	#6b5755
Double Colonial White	#eee3ad
Double Pearl Lusta	#fcf4d0
Double Spanish White	#e6d7b9
Dove Grey	#6d6c6c
Downriver	#92256
Downy	#6fd0c5
Driftwood	#af8751
Drover	#fdf7ad
Dune	#383533
Dust Storm	#e5ccc9
Dusty Grey	#a8989b
Dutch White	#fff8d1
Eagle	#b6baa4
Earls Green	#c9b93b
Early Dawn	#fff9e6
East Bay	#414c7d
East Side	#ac91ce
Eastern Blue	#1e9ab0
Ebb	#e9e3e3
Ebony	#c0b1d
Ebony Clay	#26283b
Echo Blue	#afbdd9
Eclipse	#311c17
Ecru White	#f5f3e5
Ecstasy	#fa7814
Eden	#105852
Edgewater	#c8e3d7
Edward	#a2aeab
Egg Sour	#fff4dd
Egg White	#ffefc1
El Paso	#1e1708
El Salva	#8f3e33
Elephant	#123447
Elf Green	#88370
Elm	#1c7c7d
Embers	#a02712
Eminence	#6c3082
Emperor	#514649
Empress	#817377
Endeavour	#56a7
Energy Yellow	#f8dd5c
English Holly	#22d15
English Walnut	#3e2b23
Envy	#8ba690
Equator	#e1bc64
Espresso	#612718
Eternity	#211a0e
Eucalyptus	#278a5b
Eunry	#cfa39d
Evening Sea	#24e46
Everglade	#1c402e
Fair Pink	#ffefec
Falcon	#7f626d
Fantasy	#faf3f0
Fedora	#796a78
Feijoa	#9fdd8c
Fern	#a480d
Fern Frond	#657220
Ferra	#704f50
Festival	#fbe96c
Feta	#f0fcea
Fiery Orange	#b35213
Fiji Green	#657220
Finch	#626649
Finlandia	#556d56
Finn	#692d54
Fiord	#405169
Fire	#aa4203
Fire Bush	#e89928
Firefly	#e2a30
Flame Pea	#da5b38
Flame Red	#c7031e
Flamenco	#ff7d07
Flamingo	#f2552a
Flax	#7b8265
Flint	#6f6a61
Flirt	#a2006d
Foam	#d8fcfa
Fog	#d7d0ff
Foggy Grey	#cbcab6
Forest Green	#182d09
Forget Me Not	#fff1ee
Fountain Blue	#56b4be
Frangipani	#ffdeb3
French Grey	#bdbdc6
French Lilac	#ecc7ee
French Pass	#bdedfd
Friar Grey	#807e79
Fringy Flower	#b1e2c1
Froly	#f57584
Frost	#edf5dd
Frosted Mint	#dbfff8
Frostee	#e4f6e7
Fruit Salad	#4f9d5d
Fuchsia	#7a58c1
Fuego	#bede0d
Fuel Yellow	#eca927
Fun Blue	#1959a8
Fun Green	#16d39
Fuscous Grey	#54534d
Gable Green	#163531
Gallery	#efefef
Galliano	#dcb20c
Geebung	#d18f1b
Genoa	#15736b
Geraldine	#fb8989
Geyser	#d4dfe2
Ghost	#c7c9d5
Gigas	#523c94
Gimblet	#b8b56a
Gin	#e8f2eb
Gin Fizz	#fff9e2
Givry	#f8e4bf
Glacier	#80b3c4
Glade Green	#61845f
Go Ben	#726d4e
Goblin	#3d7d52
Gold Drop	#f18200
Gold Tips	#deba13
Golden Bell	#e28913
Golden Dream	#f0d52d
Golden Fizz	#f5fb3d
Golden Glow	#fde295
Golden Sand	#f0db7d
Golden Tainoi	#ffcc5c
Gondola	#261414
Gordons Green	#b1107
Gorse	#fff14f
Gossamer	#69b81
Gossip	#d2f8b0
Gothic	#6d92a1
Governor Bay	#2f3cb3
Grain Brown	#e4d5b7
Grandis	#ffd38c
Granite Green	#8d8974
Granny Apple	#d5f6e3
Granny Smith	#84a0a0
Grape	#381a51
Graphite	#251607
Grass Hopper	#7c7631
Gravel	#4a444b
Green House	#24500f
Green Kelp	#25311c
Green Leaf	#436a0d
Green Mist	#cbd3b0
Green Pea	#1d6142
Green Smoke	#a4af6e
Green Spring	#b8c1b1
Green Vogue	#32b52
Green Waterloo	#101405
Green White	#e8ebe0
Greenstone	#3e40
Grenadier	#d54600
Grey Chateau	#a2aab3
Grey Green	#454936
Grey Nickel	#c3c3bd
Grey Nurse	#e7ece6
Grey Olive	#a9a491
Grey Suit	#c1becd
Guardsman Red	#ba0101
Gulf Blue	#51657
Gulf Stream	#80b3ae
Gull Grey	#9dacb7
Gum Leaf	#b6d3bf
Gumbo	#7ca1a6
Gun Powder	#414257
Gunmetal	#20d15
Gunsmoke	#828685
Gurkha	#9a9577
Hacienda	#98811b
Hairy Heath	#6b2a14
Haiti	#1b1035
Half and Half	#fffee1
Half Baked	#85c4cc
Half Colonial White	#fdf6d3
Half Dutch White	#fef7de
Half Pearl Lusta	#fffcea
Half Spanish White	#fef4db
Hampton	#e5d8af
Harp	#e6f2ea
Harvest Gold	#e0b974
Havana	#341515
Havelock Blue	#5590d9
Hawaiian Tan	#9d5616
Hawkes Blue	#d4e2fc
Heath	#541012
Heather	#b7c3d0
Heathered Grey	#b6b095
Heavy Metal	#2b3228
Hemlock	#5e5d3b
Hemp	#907874
Hibiscus	#b6316c
Highball	#908d39
Highland	#6f8e63
Hillary	#aca586
Himalaya	#6a5d1b
Hint of Green	#e6ffe9
Hint of Grey	#fcfff9
Hint of Red	#f9f9f9
Hint of Yellow	#fafde4
Hippie Blue	#589aaf
Hippie Green	#53824b
Hippie Pink	#ae4560
Hit Grey	#a1adb5
Hit Pink	#ffab81
Hokey Pokey	#c8a528
Hoki	#65869f
Holly	#11d13
Honey Flower	#4f1c70
Honeysuckle	#edfc84
Hopbush	#d06da1
Horizon	#5a87a0
Horses Neck	#604913
Hot Chile	#8b0723
Hot Curry	#886221
Hot Purple	#480656
Hot Toddy	#b38007
Humming Bird	#cff9f3
Hunter Green	#161d10
Hurricane	#877c7b
Husk	#b7a458
Ice Cold	#b1f4e7
Iceberg	#daf4f0
Illusion	#f6a4c9
Indian Tan	#4d1e01
Indochine	#c26b03
Irish Coffee	#5f3d26
Iroko	#433120
Iron	#d4d7d9
Ironbark	#411f10
Ironside Grey	#676662
Ironstone	#86483c
Island Spice	#fffcee
Jacaranda	#2e0329
Jacarta	#3a2a6a
Jacko Bean	#2e1905
Jacksons Purple	#20208d
Jade	#427977
Jaffa	#ef863f
Jagged Ice	#c2e8e5
Jagger	#350e57
Jaguar	#80110
Jambalaya	#5b3013
Janna	#f4ebd3
Japanese Laurel	#a6906
Japanese Maple	#780109
Japonica	#d87c63
Jarrah	#341515
Java	#1fc2c2
Jazz	#780109
Jelly Bean	#297b9a
Jet Stream	#b5d2ce
Jewel	#126b40
Joanna	#f5f3e5
Jon	#3b1f1f
Jonquil	#eeff9a
Jordy Blue	#8ab9f1
Judge Grey	#544333
Jumbo	#7c7b82
Jungle Green	#281e15
Jungle Mist	#b4cfd3
Juniper	#6d9292
Just Right	#eccdb9
Kabul	#5e483e
Kaitoke Green	#4620
Kangaroo	#c6c8bd
Karaka	#1e1609
Karry	#ffead4
Kashmir Blue	#507096
Kelp	#454936
Kenyan Copper	#7c1c05
Keppel	#3ab09e
Kidnapper	#e1ead4
Kilamanjaro	#240c02
Killarney	#3a6a47
Kimberly	#736c9f
Kingfisher Daisy	#3e0480
Kobi	#e79fc4
Kokoda	#6e6d57
Korma	#8f4b0e
Koromiko	#ffbd5f
Kournikova	#ffe772
Kumera	#886221
La Palma	#368716
La Rioja	#b3c110
Las Palmas	#c6e610
Laser	#c8b568
Laurel	#749378
Lavender	#a899e6
Leather	#967059
Lemon	#f4d81c
Lemon Ginger	#ac9e22
Lemon Grass	#9b9e8f
Licorice	#92256
Lightning Yellow	#fcc01e
Lilac Bush	#9874d3
Lily	#c8aabf
Lily White	#e7f8ff
Lima	#76bd17
Lime	#bfc921
Limeade	#6f9d02
Limed Ash	#747d63
Limed Gum	#423921
Limed Oak	#ac8a56
Limed Spruce	#394851
Limerick	#9dc209
Linen	#e6e4d4
Link Water	#d9e4f5
Lipstick	#ab0563
Lisbon Brown	#423921
Livid Brown	#4d282e
Loafer	#eef4de
Loblolly	#bdc9ce
Lochinvar	#2c8c84
Lochmara	#7ec7
